name,location,area,type,link,price,number_of_bedrooms,pictures
Own Villa 540 sqm Mountain View 2 Fully finished,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",540 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-1827048.html,"18,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485358/260/185/MODE/9c7cc5/1827048-557b2o.jpg?ctr=eg
Twin house in Katameya dunes 300 sqm semi finished,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-1827052.html,"12,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485762/260/185/MODE/717280/1827052-58723o.jpg?ctr=eg
Apartment 3 bed in New Capital Compounds for sale,"De Joya, New Capital Compounds, New Capital City, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1827316.html,"200,000 EGP",3 ,https://www.propertyfinder.eg/property/1619521633/260/185/MODE/7f1d87/1827316-3d9deo.jpg?ctr=eg
Flat 165 m at Best location of El patio Best Price,"Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",165 sqm,Apartment,/en/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-patio-casa-1825778.html,"1,850,000 EGP",3 ,https://www.propertyfinder.eg/property/1619447117/260/185/MODE/e8abee/1825778-2ef22o.jpg?ctr=eg
Medium Villa 532 M with Basement Sale in Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",532 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1825443.html,"12,500,000 EGP",4 ,https://www.propertyfinder.eg/property/1619445214/260/185/MODE/0bc27d/1825443-882efo.jpg?ctr=eg
 340 -  580  -    - ,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",340 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-1825830.html,"580,000 EGP",4 ,https://www.propertyfinder.eg/property/1619447470/260/185/MODE/a27fd2/1825830-a408fo.jpg?ctr=eg
Apartment 200 m For Sale in New Capital city,"De Joya, New Capital Compounds, New Capital City, Cairo",200 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1827481.html,"2,100,000 EGP",3 ,https://www.propertyfinder.eg/property/1619523493/260/185/MODE/e367d7/1827481-fc801o.jpg?ctr=eg
Villa in Katameya Heights 460 sqm Fully finished,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",460 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-1827051.html,"29,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619485670/260/185/MODE/5c0f97/1827051-f652do.jpg?ctr=eg
FULLY FINISHED APARTMENT AT HYDE PARK  3 BED,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",227 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1826770.html,"2,900,000 EGP",3 ,https://www.propertyfinder.eg/property/1619457483/260/185/MODE/bc87bc/1826770-cd94do.jpg?ctr=eg
       ,"Amorada, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-amorada-1826272.html,"2,230,000 EGP",3 ,https://www.propertyfinder.eg/property/1619450535/260/185/MODE/545a1d/1826272-ce505o.jpg?ctr=eg
Stand alone in Villette 360 sqm semi finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1827038.html,"12,250,000 EGP",4 ,https://www.propertyfinder.eg/property/1619484641/260/185/MODE/ca40f7/1827038-9307ao.jpg?ctr=eg
Duplex apartment ground floor in a garden capital,"De Joya, New Capital Compounds, New Capital City, Cairo",378 sqm,Duplex,/en/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-1826922.html,"367,000 EGP",6 ,https://www.propertyfinder.eg/property/1619475346/260/185/MODE/ce0602/1826922-45082o.jpg?ctr=eg
For Sale villa in Mivida Fully finished | 437M,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",437 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1828477.html,"11,500,000 EGP",5 ,https://www.propertyfinder.eg/property/1619529502/260/185/MODE/8f3b44/1828477-9b84co.jpg?ctr=eg
